weather.스,weather.stn_id,weather.pvn_nm,weather.bor_nm,weather.max_ta,weather.max_ws,weather.min_ta,weather.avg_ta,weather.avg_rhm,weather.avg_wa,weather.sum_rn
20170801,119,경기도,수원시권선구,33.6,3.5,23.2,27.3,86,1.2,0.8
20170802,119,경기도,수원시권선구,34.2,3.2,25.2,29.3,83,0.8,0
20170803,119,경기도,수원시권선구,32.7,4.4,26.2,29.2,68,2.6,0
20170804,119,경기도,수원시권선구,35.4,3.1,25.1,29.7,66,1.7,0
20170805,119,경기도,수원시권선구,36.9,4.3,27,31.2,72,1.5,0
20170806,119,경기도,수원시권선구,33.4,3.6,25.5,28.9,83,1.5,2.7
20170807,119,경기도,수원시권선구,33.6,4.6,25.2,28.5,81,1.9,0
20170808,119,경기도,수원시권선구,32.1,4,24.6,27.6,73,1.5,0
20170809,119,경기도,수원시권선구,29.6,4.7,23.8,26.5,80,1.9,6.6
20170810,119,경기도,수원시권선구,25.6,1.9,23.3,24.5,99,0.7,11.3
20170811,119,경기도,수원시권선구,32,3.9,23.5,26,89,1.4,6.9
20170812,119,경기도,수원시권선구,32.4,3.9,23,27.1,71,1.7,0
20170813,119,경기도,수원시권선구,27.3,5.2,24,25.8,73,3.3,0
20170814,119,경기도,수원시권선구,25.6,6.1,22.3,23.6,87,2.9,8
20170815,119,경기도,수원시권선구,23.8,4.8,21.1,22.3,98,2.8,50.9
20170816,119,경기도,수원시권선구,27.9,4.7,21.6,24.1,91,2.5,1.9
20170817,119,경기도,수원시권선구,29.8,4.3,22.1,25.2,87,2,0.2
20170818,119,경기도,수원시권선구,30.9,3.4,22.6,25.8,85,1.2,0
20170819,119,경기도,수원시권선구,28.9,5.1,22.3,25.5,88,1.7,13.7
20170820,119,경기도,수원시권선구,27,5.4,22.1,23.8,97,3,130.8
20170821,119,경기도,수원시권선구,28.6,4.5,23.2,25,95,2,22.6
20170822,119,경기도,수원시권선구,32.1,3.3,23,26.9,85,1.3,0
20170823,119,경기도,수원시권선구,31.4,5.6,23.7,27.1,94,2.1,34.8
20170824,119,경기도,수원시권선구,29.2,6.3,23.5,26.2,96,3.1,38.1
20170825,119,경기도,수원시권선구,31.5,4.6,20.9,25.3,74,1.6,0
20170826,119,경기도,수원시권선구,29.6,5,17.6,23.6,62,1.7,0
20170827,119,경기도,수원시권선구,26.6,2.6,18.5,22.3,74,0.7,0
20170828,119,경기도,수원시권선구,26.1,5.3,18.3,21.3,87,1.2,30.4
20170829,119,경기도,수원시권선구,24.3,4.1,17.4,20.1,58,2.6,0
20170830,119,경기도,수원시권선구,23.6,3.8,16,19.2,62,1.2,0
20170831,119,경기도,수원시권선구,28.2,2.6,15.1,21.2,73,0.9,0
20170901,119,경기도,수원시권선구,29.7,3.7,15.8,22.6,61,1.6,0
20170902,119,경기도,수원시권선구,29.5,3.3,17.5,22.8,70,1.5,0
20170903,119,경기도,수원시권선구,29.1,3.5,17.6,23.1,71,1.4,0
20170904,119,경기도,수원시권선구,29.2,3.3,17.9,23.6,61,1.5,0
20170905,119,경기도,수원시권선구,23.8,4.1,19.8,21.7,70,1.4,0
20170906,119,경기도,수원시권선구,22.9,2.6,18.3,20.2,90,0.6,1.3
20170907,119,경기도,수원시권선구,27.7,3.9,16.5,21.8,85,1.4,0
20170908,119,경기도,수원시권선구,29.8,3.7,19.6,23.4,81,1.3,0
20170909,119,경기도,수원시권선구,29.4,4.2,18.5,23.2,84,1.2,0
20170910,119,경기도,수원시권선구,25.2,3.5,18.6,22.2,88,0.8,0
20170911,119,경기도,수원시권선구,25.1,4.4,18.2,20.5,92,1.6,15.7
20170912,119,경기도,수원시권선구,27.6,4.5,16.7,21.1,70,1.5,0
20170913,119,경기도,수원시권선구,27.5,4.4,13.9,20.4,64,1.5,0
20170914,119,경기도,수원시권선구,28.8,2.9,13.7,21.5,64,1.1,0
20170915,119,경기도,수원시권선구,27.7,6.8,17.8,22.2,54,3.3,0
20170916,119,경기도,수원시권선구,26.3,5.2,16.6,21.2,57,3,0
20170917,119,경기도,수원시권선구,28.5,3.8,18.3,22.3,61,1.7,0
20170918,119,경기도,수원시권선구,27.3,4.2,14.9,20.8,76,1.6,0
20170919,119,경기도,수원시권선구,27,6,17.5,21.8,89,2.2,7.8
20170920,119,경기도,수원시권선구,23.9,4.6,12.3,18.3,64,2,0
20170921,119,경기도,수원시권선구,26.5,2.7,12.6,18.7,72,1.1,0
20170922,119,경기도,수원시권선구,27.6,3.6,14.4,19.7,74,1.5,0
20170923,119,경기도,수원시권선구,27,3.1,16.2,20.7,85,1.3,0
20170924,119,경기도,수원시권선구,27.6,4,18.9,22.4,88,1.5,0
20170925,119,경기도,수원시권선구,29.7,2.9,18,22.9,75,1.1,0
20170926,119,경기도,수원시권선구,29.3,3.5,18.3,23.5,69,1.5,0
20170927,119,경기도,수원시권선구,26.6,3.1,17.6,21.7,74,1.5,1.3
20170928,119,경기도,수원시권선구,24.9,6.4,13.6,19.4,54,2.8,0
20170929,119,경기도,수원시권선구,21.9,4.3,8.6,15.3,52,1.4,0
20170930,119,경기도,수원시권선구,25.9,3.5,11.7,18.4,73,1.2,0
20171001,119,경기도,수원시권선구,21.8,4.3,14.8,17.2,88,1.8,9.9
20171002,119,경기도,수원시권선구,28.6,4.2,15.4,21.1,72,2,1.6
20171003,119,경기도,수원시권선구,22.8,4,12.8,17.2,53,1.9,0
20171004,119,경기도,수원시권선구,23.2,2.8,10.1,16.7,56,1.3,0
20171005,119,경기도,수원시권선구,22.2,4.3,14.2,17.9,63,2.4,0
20171006,119,경기도,수원시권선구,21.5,5,13.4,17.9,71,2.2,0
20171007,119,경기도,수원시권선구,26.3,2.3,16.6,20.5,79,0.8,0
20171008,119,경기도,수원시권선구,27.1,3.5,17.5,21,81,1.2,0
20171009,119,경기도,수원시권선구,27.8,3.2,16.8,21.2,79,1.2,0
20171010,119,경기도,수원시권선구,25.3,2.7,16.8,20.8,87,1,0.1
20171011,119,경기도,수원시권선구,21.2,5.1,12.2,15.4,87,2.5,16.8
20171012,119,경기도,수원시권선구,13.9,2.6,7.3,11.5,79,1.5,0.2
20171013,119,경기도,수원시권선구,18.3,3.6,4.4,12,67,1.5,0
20171014,119,경기도,수원시권선구,20.2,3.7,6.4,13.6,54,1.5,0
20171015,119,경기도,수원시권선구,21.6,3.8,7.1,14.5,57,1.4,0
20171016,119,경기도,수원시권선구,21.8,3.6,13.1,16.3,56,1.2,0
20171017,119,경기도,수원시권선구,22.9,2.5,7,14.8,63,0.9,0
20171018,119,경기도,수원시권선구,18.1,4.1,13.5,15.9,65,2.5,0
20171019,119,경기도,수원시권선구,21.9,3,11.5,15.9,66,1.3,0
20171020,119,경기도,수원시권선구,23.8,3.5,9.2,15.5,70,0.9,0
20171021,119,경기도,수원시권선구,24.6,2.9,8.5,15.2,70,0.7,0
20171022,119,경기도,수원시권선구,22.4,7.1,7.4,15.2,62,2.6,0
20171023,119,경기도,수원시권선구,19.1,4.2,8.6,12.9,57,1.5,0
20171024,119,경기도,수원시권선구,20.1,2.8,8.1,13,67,1.1,0
20171025,119,경기도,수원시권선구,20.2,3.8,6.9,12.3,78,1.1,0
20171026,119,경기도,수원시권선구,19.9,2.7,8.6,14.3,63,0.8,0
20171027,119,경기도,수원시권선구,23.3,2.5,10,15.3,68,0.7,0
20171028,119,경기도,수원시권선구,24.1,2.5,8.4,15.7,67,1,0
20171029,119,경기도,수원시권선구,18.1,6.7,6.2,11.3,55,2.9,0
20171030,119,경기도,수원시권선구,13.3,4.6,2.1,6.7,42,1.9,0
20171031,119,경기도,수원시권선구,16.9,3.8,0.3,8.2,72,1,0
20171101,119,경기도,수원시권선구,19.2,3.5,7.8,13,83,1.2,0
20171102,119,경기도,수원시권선구,19.2,3.2,11.6,14.8,87,1.3,0
20171103,119,경기도,수원시권선구,18.4,5.2,6.3,11.7,73,2.4,2.2
20171104,119,경기도,수원시권선구,14.2,3.9,3,7.3,62,1.7,0
20171105,119,경기도,수원시권선구,15.5,3.9,0.4,7.2,75,0.9,0
20171106,119,경기도,수원시권선구,16.5,2.6,4.8,10.2,77,1.1,0
20171107,119,경기도,수원시권선구,20,3.1,6.4,14.8,71,1.3,0
20171108,119,경기도,수원시권선구,18.2,5.3,6.6,13.2,67,2.7,0.2
20171109,119,경기도,수원시권선구,16.6,2.8,1.8,8.4,59,0.8,0
20171110,119,경기도,수원시권선구,16.8,7.3,4.3,9.5,73,2.4,9.6
20171111,119,경기도,수원시권선구,11.3,4.8,1,5.8,55,2,0
20171112,119,경기도,수원시권선구,12.1,3,-1.3,4.8,76,0.9,0
20171113,119,경기도,수원시권선구,11.7,3.6,1,8.1,75,1.5,7.8
20171114,119,경기도,수원시권선구,12.5,6.3,3.5,7.5,54,2.3,0
20171115,119,경기도,수원시권선구,8.7,6.5,0.2,4.2,50,2.4,0.2
20171116,119,경기도,수원시권선구,7.8,3.5,-2.4,1.6,46,1.3,0
20171117,119,경기도,수원시권선구,6.8,4.1,-2.8,3.2,53,1.5,0.2
20171118,119,경기도,수원시권선구,2.9,6.3,-3.9,-1,40,3.5,0
20171119,119,경기도,수원시권선구,5.5,4.5,-6.1,-0.4,40,2.1,0
20171120,119,경기도,수원시권선구,6.1,3.4,-4.6,0.5,71,1.4,0.7
20171121,119,경기도,수원시권선구,8.4,2.1,-5.2,0.7,75,0.9,0
20171122,119,경기도,수원시권선구,12.2,6.4,-1.1,4.5,62,2.2,0.1
20171123,119,경기도,수원시권선구,6.5,5.4,-3.2,1.4,61,1.9,1.9
20171124,119,경기도,수원시권선구,4.5,4.8,-2.5,0.3,77,1.3,1.5
20171125,119,경기도,수원시권선구,9.7,7.4,-3.6,4.2,86,2.4,0.1
20171126,119,경기도,수원시권선구,10.2,4.9,-0.5,4.5,72,1.5,0.2
20171127,119,경기도,수원시권선구,9.4,2.8,-3.5,2,71,0.7,0
20171128,119,경기도,수원시권선구,12.2,2.2,-0.7,5.6,76,0.7,0
20171129,119,경기도,수원시권선구,8.5,4.7,-1.5,4.3,48,2.5,0
20171130,119,경기도,수원시권선구,3.8,5.2,-4.3,-1.3,31,3,0
20171201,119,경기도,수원시권선구,4.6,4.1,-6.3,-1.6,54,1.6,0
20171202,119,경기도,수원시권선구,7.1,2.8,-5,1.1,73,1,0
20171203,119,경기도,수원시권선구,7.9,2.1,1.2,4.1,90,0.8,4
20171204,119,경기도,수원시권선구,4.4,6,-5,-0.1,57,3.1,0.4
20171205,119,경기도,수원시권선구,0.7,5,-6.8,-3.5,44,2.4,0
20171206,119,경기도,수원시권선구,5.7,3.7,-3.8,0.9,77,1.9,3.2
20171207,119,경기도,수원시권선구,7.2,4.5,-2.7,1.6,66,1.9,0.2
20171208,119,경기도,수원시권선구,0.8,5.1,-5.5,-2.6,44,2.4,0
20171209,119,경기도,수원시권선구,4.4,2.2,-5.2,-0.4,57,1.1,0
20171210,119,경기도,수원시권선구,7.2,6.6,-1.4,1.8,77,2.3,7.6
20171211,119,경기도,수원시권선구,-1.3,7.2,-9.8,-5.7,43,4.1,0
20171212,119,경기도,수원시권선구,-3.2,4,-11.2,-7.9,44,2.2,0
20171213,119,경기도,수원시권선구,-1.9,4.4,-11.3,-7.2,41,1.8,0
20171214,119,경기도,수원시권선구,-0.6,2.7,-11.5,-5.8,51,0.8,0
20171215,119,경기도,수원시권선구,1.6,3.7,-8.6,-2.6,55,0.8,0
20171216,119,경기도,수원시권선구,-0.9,5.1,-7.3,-4.4,45,2.9,0
20171217,119,경기도,수원시권선구,-0.7,4.5,-11,-5.7,47,1.7,0
20171218,119,경기도,수원시권선구,6.6,6.2,-5.4,0.5,71,2.1,1.2
20171219,119,경기도,수원시권선구,0.5,5.8,-7.7,-3.4,50,2.2,0
20171220,119,경기도,수원시권선구,2.7,3.7,-9.3,-2.3,76,1.6,1.1
20171221,119,경기도,수원시권선구,4.1,2.3,-6.2,-2,89,1,0
20171222,119,경기도,수원시권선구,7.9,2.7,-4.2,2.5,77,1.1,0
20171223,119,경기도,수원시권선구,9,1.8,1.9,4,91,0.6,0
20171224,119,경기도,수원시권선구,5.2,5,-0.3,3,92,1.8,17
20171225,119,경기도,수원시권선구,1.9,5.1,-4.6,-1.8,49,2.5,0
20171226,119,경기도,수원시권선구,1.1,6.2,-7.3,-3.3,51,2.8,0
20171227,119,경기도,수원시권선구,-1.6,3.9,-9.5,-6,37,1.8,0
20171228,119,경기도,수원시권선구,3.4,3.9,-8.4,-1,50,1,0
20171229,119,경기도,수원시권선구,7.8,3.1,-2.3,1.9,74,1.1,0
20171230,119,경기도,수원시권선구,4.8,3,-2.8,1.5,90,1,3.3
20171231,119,경기도,수원시권선구,5.1,4.6,-2.1,0.7,61,2.4,0.5
20180101,119,경기도,수원시권선구,4.7,3.4,-6.9,-1.7,56,1,0
20180102,119,경기도,수원시권선구,3.3,4.2,-5.7,-1.7,54,1.6,0
20180103,119,경기도,수원시권선구,1.6,4,-6.9,-3.5,44,2.2,0
20180104,119,경기도,수원시권선구,-0.3,2.8,-7.8,-3.9,49,1.2,0
20180105,119,경기도,수원시권선구,2.5,5.2,-6.4,-3.1,67,1.5,0
20180106,119,경기도,수원시권선구,3.9,3.7,-8.4,-2.7,61,1.3,0
20180107,119,경기도,수원시권선구,3.1,2.7,-7.6,-0.9,57,0.8,0
20180108,119,경기도,수원시권선구,4,7.1,-1.1,1.4,63,1.9,2
20180109,119,경기도,수원시권선구,0.4,5.8,-5.4,-3,66,2.8,1.1
20180110,119,경기도,수원시권선구,-2.5,6.7,-10.2,-6.5,55,3,0.5
20180111,119,경기도,수원시권선구,-5.8,5.3,-13.2,-10.1,53,2.8,0
20180112,119,경기도,수원시권선구,-4.7,3,-14.3,-9.2,45,1.5,0
20180113,119,경기도,수원시권선구,-0.6,2.5,-7.4,-4.1,86,1.4,0.7
20180114,119,경기도,수원시권선구,5.2,3.6,-5.7,0.4,74,1.6,0
20180115,119,경기도,수원시권선구,8.9,3.5,-1.3,3.3,77,1.1,0.4
20180116,119,경기도,수원시권선구,6.9,2.4,-2.5,3,73,0.7,0
20180117,119,경기도,수원시권선구,8.1,3.8,0.6,3.4,84,0.9,0.6
20180118,119,경기도,수원시권선구,6.8,4.1,-0.6,2.3,63,1.7,0
20180119,119,경기도,수원시권선구,7.1,3.8,-2.9,0.9,46,1.4,0
20180120,119,경기도,수원시권선구,7.2,4,-3.6,0.7,70,1.2,0
20180121,119,경기도,수원시권선구,6.1,3.5,-5.7,-0.3,55,0.9,0
20180122,119,경기도,수원시권선구,6.2,5.8,-4.1,0.7,65,1.8,2.1
20180123,119,경기도,수원시권선구,-4.1,6.3,-13.7,-10,41,3.9,0
20180124,119,경기도,수원시권선구,-8.4,6.9,-14.8,-12.7,32,3.8,0
20180125,119,경기도,수원시권선구,-7.9,4.9,-15.2,-12.6,34,3,0
20180126,119,경기도,수원시권선구,-9,4.5,-16.8,-13.5,37,2.7,0
20180127,119,경기도,수원시권선구,-1.8,4.2,-16,-9,44,1.4,0
20180128,119,경기도,수원시권선구,0.3,5.4,-8,-4.9,37,2.3,0
20180129,119,경기도,수원시권선구,-3.4,5.3,-10.6,-7.5,39,2.6,0
20180130,119,경기도,수원시권선구,0,3.9,-13,-5.4,68,1.2,0.5
20180131,119,경기도,수원시권선구,1.4,3.4,-6.1,-2.3,60,1.3,0
20180201,119,경기도,수원시권선구,3.6,3.8,-9.3,-3.4,49,1.4,0
20180202,119,경기도,수원시권선구,4.4,3.7,-9.5,-3.1,61,1.3,0
20180203,119,경기도,수원시권선구,-2.8,5.6,-10,-6.4,52,3.4,0.4
20180204,119,경기도,수원시권선구,-4.6,4.9,-11.8,-8.5,43,2.7,0
20180205,119,경기도,수원시권선구,-4,5.9,-11.7,-8.4,40,2.9,0
20180206,119,경기도,수원시권선구,-4.8,5.2,-12.9,-9.2,39,2.9,0
20180207,119,경기도,수원시권선구,-1.2,3.6,-14.6,-7.9,49,1.4,0
20180208,119,경기도,수원시권선구,3.4,2.5,-11.2,-4.6,56,0.8,0
20180209,119,경기도,수원시권선구,6.2,3.2,-6.9,0.5,49,1.1,0
20180210,119,경기도,수원시권선구,5.9,5.9,-6.5,-0.3,51,2.7,0
20180211,119,경기도,수원시권선구,-0.4,5.9,-8.3,-5.5,56,2.3,1.9
20180212,119,경기도,수원시권선구,-1.6,5.4,-12.9,-6.3,65,2,1
20180213,119,경기도,수원시권선구,5.3,5.4,-11.3,-2.6,75,1.8,0
20180214,119,경기도,수원시권선구,9.1,6.4,-4,2.6,62,2.3,0
20180215,119,경기도,수원시권선구,5.9,4.4,-4,-0.1,37,2.3,0
20180216,119,경기도,수원시권선구,6,4.6,-7.2,-1,53,1.6,0
20180217,119,경기도,수원시권선구,2.4,5.8,-6.2,-2.4,35,2.6,0
20180218,119,경기도,수원시권선구,5.8,3,-5.2,-0.6,35,1.1,0
20180219,119,경기도,수원시권선구,7.4,3.9,-4.2,0.7,63,1.1,0
20180220,119,경기도,수원시권선구,7.5,4.5,-4.2,0.7,56,1.7,0.1
20180221,119,경기도,수원시권선구,5.4,4.5,-4.4,-0.6,36,2.4,0
20180222,119,경기도,수원시권선구,5.9,5.4,-5.3,0.7,62,2,0
20180223,119,경기도,수원시권선구,10.3,4.7,-0.7,4.9,82,2.3,2.8
20180224,119,경기도,수원시권선구,8.3,4.5,-1.9,2.6,62,2,0
20180225,119,경기도,수원시권선구,8.8,4.2,-2.5,1.6,49,1.5,0
20180226,119,경기도,수원시권선구,11.1,3.5,-4.2,1.9,59,1.2,0
20180227,119,경기도,수원시권선구,7.7,2.5,-2.7,3.4,59,0.8,0
20180228,119,경기도,수원시권선구,8.8,6.8,2.4,5.2,77,3.1,22.7
20180301,119,경기도,수원시권선구,3.8,7.5,-3.7,0.2,68,4.3,2.9
20180302,119,경기도,수원시권선구,6.3,3.7,-6.2,-0.1,38,1.5,0
20180303,119,경기도,수원시권선구,16.8,3.6,-1,8.3,43,1.7,0
20180304,119,경기도,수원시권선구,13.9,4.3,7.6,10.6,90,1.4,13.1
20180305,119,경기도,수원시권선구,11.3,5.5,2.1,6,68,3.7,7.2
20180306,119,경기도,수원시권선구,11.9,4.5,-2,4,62,1.3,0
20180307,119,경기도,수원시권선구,12.2,5.9,0.1,6.5,60,3,2.5
20180308,119,경기도,수원시권선구,9.3,4.8,1.4,4.3,85,2.3,6.9
20180309,119,경기도,수원시권선구,10,3.6,1,4.3,74,1.4,0
20180310,119,경기도,수원시권선구,10.8,4.6,-1.5,3.9,75,1.7,0
20180311,119,경기도,수원시권선구,13.4,4,1.3,6.2,66,1.4,0
20180312,119,경기도,수원시권선구,16.7,3.8,0.1,7,69,1.2,0
20180313,119,경기도,수원시권선구,19.4,5.3,2.3,12.3,70,1.8,0
20180314,119,경기도,수원시권선구,23.2,5.6,12.9,16.8,62,2.1,0
20180315,119,경기도,수원시권선구,15.5,3.6,8,11.3,99,1.7,46.5
20180316,119,경기도,수원시권선구,11.9,5.4,4.6,7.7,54,3.4,0
20180317,119,경기도,수원시권선구,14.5,4.3,1.4,6.6,53,2.3,0
20180318,119,경기도,수원시권선구,12.7,2.1,4.2,8.1,66,0.9,1.3
20180319,119,경기도,수원시권선구,10.8,6.3,6.9,8.6,76,3.5,3.5
20180320,119,경기도,수원시권선구,9.4,8.2,2.5,5.5,43,5.3,0
20180321,119,경기도,수원시권선구,2.7,5.2,0.1,1.8,78,2.8,2.1
20180322,119,경기도,수원시권선구,11.4,4.4,0.3,4.7,75,2.1,0
20180323,119,경기도,수원시권선구,13.2,4.1,0.3,5.3,72,1.5,0
20180324,119,경기도,수원시권선구,14.7,4.5,2.3,7.1,82,1.8,0
20180325,119,경기도,수원시권선구,18.4,3.6,4.5,8.7,78,1.5,0
20180326,119,경기도,수원시권선구,19.5,3.9,4.6,10.2,78,1.4,0
20180327,119,경기도,수원시권선구,21.3,4.2,4.6,12.7,75,1.5,0
20180328,119,경기도,수원시권선구,21.1,4.7,8.2,14.2,74,2,0
20180329,119,경기도,수원시권선구,21.5,4.1,9.7,14.6,80,1.5,0
20180330,119,경기도,수원시권선구,21.2,5.2,7.5,13.5,69,2,0
20180331,119,경기도,수원시권선구,21.3,4.7,7.1,13.5,66,1.7,0
20180401,119,경기도,수원시권선구,18,3.5,9.3,14.8,79,1.1,0
20180402,119,경기도,수원시권선구,25,4.9,12,17.2,75,1.5,0
20180403,119,경기도,수원시권선구,23.8,4.2,14.1,18.2,78,1.8,0
20180404,119,경기도,수원시권선구,16.6,5.9,10.2,12.7,79,3,19.1
20180405,119,경기도,수원시권선구,10.3,5.8,7.5,8.2,96,3.7,16.3
20180406,119,경기도,수원시권선구,9.3,7.8,3.5,6.4,76,3.6,8.9
20180407,119,경기도,수원시권선구,9.8,8.2,2.6,4.9,49,4.7,0
20180408,119,경기도,수원시권선구,10.2,6.2,0,6,62,2.2,0.5
20180409,119,경기도,수원시권선구,16.8,NA,0.9,9.1,60,NA,0
20180410,119,경기도,수원시권선구,22.4,NA,5.3,15.6,57,NA,1
20180411,119,경기도,수원시권선구,18.1,6.5,8.2,12.3,58,3,0
20180412,119,경기도,수원시권선구,20.5,5.5,4.9,11.7,50,1.8,0
20180413,119,경기도,수원시권선구,19.7,5.6,5.4,14.1,36,2.2,0
20180414,119,경기도,수원시권선구,14.4,5.8,7.2,9.1,85,2.7,9.6
20180415,119,경기도,수원시권선구,14.9,6.2,5.7,9.2,78,2,0
20180416,119,경기도,수원시권선구,19.3,4.7,3.2,10.8,60,1.4,0
20180417,119,경기도,수원시권선구,20.6,4.5,4.8,11.8,51,1.3,0
20180418,119,경기도,수원시권선구,19.4,3.8,3.2,11.1,53,1.2,0
20180419,119,경기도,수원시권선구,21.7,4,4.1,13.5,49,1.3,0
20180420,119,경기도,수원시권선구,27,3.8,8.5,17,55,0.9,0
20180421,119,경기도,수원시권선구,27.3,4.8,8.7,17.2,51,1.3,0
20180422,119,경기도,수원시권선구,21.2,5.9,11.8,15.8,69,2.2,4.5
20180423,119,경기도,수원시권선구,13.1,7,9.5,10.4,98,4.2,66.2
20180424,119,경기도,수원시권선구,16.5,5.3,8.2,12.4,67,2.8,2.6
20180425,119,경기도,수원시권선구,24.1,4.7,3.7,13.6,52,1.1,0
20180426,119,경기도,수원시권선구,22.5,4.3,7.1,14.3,63,1.4,0
20180427,119,경기도,수원시권선구,22.8,3.4,7.4,13.9,71,1.2,0
20180428,119,경기도,수원시권선구,22.4,4.6,8.2,14,65,1.3,0
20180429,119,경기도,수원시권선구,24,3.9,7.2,15.2,59,1.2,0
20180430,119,경기도,수원시권선구,25.8,3.7,11.7,18.9,70,1.2,0
20180501,119,경기도,수원시권선구,25.1,7.1,17.6,20.5,80,1.3,0
20180502,119,경기도,수원시권선구,20.6,6.2,10.7,15.4,94,2.4,4.1
20180503,119,경기도,수원시권선구,16.8,7.3,6.9,11.9,68,3.3,0
20180504,119,경기도,수원시권선구,20.3,7.9,8.2,13.8,55,3.1,0
20180505,119,경기도,수원시권선구,25.1,7.5,8.6,17.7,58,2.2,0
20180506,119,경기도,수원시권선구,19.2,4.1,14.5,16,97,2,22.7
20180507,119,경기도,수원시권선구,27.1,3.4,13.4,18.6,73,1.3,0
20180508,119,경기도,수원시권선구,22.8,5.9,12.4,17.8,58,3.5,0
20180509,119,경기도,수원시권선구,22.2,4.8,9.9,15.2,58,2.3,0
20180510,119,경기도,수원시권선구,22.5,5.2,9.5,14.6,79,2,0
20180511,119,경기도,수원시권선구,22.2,8.1,10.9,15.6,69,1.7,0
20180512,119,경기도,수원시권선구,16.3,3.8,11.7,14.4,95,1.5,36
20180513,119,경기도,수원시권선구,19.3,4,11.3,14.8,92,1.8,0.5
20180514,119,경기도,수원시권선구,25.7,3.6,10.8,17.8,83,1.3,0
20180515,119,경기도,수원시권선구,29.1,3.2,14.1,23,67,1,0
20180516,119,경기도,수원시권선구,24.5,6.9,21.8,23.2,95,1.9,28.3
20180517,119,경기도,수원시권선구,24.8,6.2,19.5,21.6,99,1.5,64.8
20180518,119,경기도,수원시권선구,20,4.2,12.6,16.6,93,1.6,5.2
20180519,119,경기도,수원시권선구,24.3,6.1,10.6,18.1,56,3.2,0
20180520,119,경기도,수원시권선구,23.7,4.6,12.6,17.8,40,2.7,0
20180521,119,경기도,수원시권선구,22.9,5.3,9.2,17.3,56,2.3,0
20180522,119,경기도,수원시권선구,23.8,3.3,15.1,18.4,81,1.3,5.1
20180523,119,경기도,수원시권선구,22.9,5.6,11.9,17.1,71,2.6,6.6
20180524,119,경기도,수원시권선구,24.9,5.4,10.3,18.3,59,2.2,0
20180525,119,경기도,수원시권선구,26.6,4.3,12,19.1,55,1.5,0
20180526,119,경기도,수원시권선구,29.5,4.8,12,20.3,63,1.3,0
20180527,119,경기도,수원시권선구,24.6,4,14.8,18.9,58,1.3,0
20180528,119,경기도,수원시권선구,29.4,4.4,12.7,21,63,1.5,0
20180529,119,경기도,수원시권선구,26.8,4.2,17.5,20.8,78,1.5,10.9
20180530,119,경기도,수원시권선구,25.3,4.9,14.4,18.8,90,1.8,3.7
20180531,119,경기도,수원시권선구,26.2,4.4,13.4,19.2,76,1.7,0
20180601,119,경기도,수원시권선구,29.9,4.7,14.9,22.1,63,1.7,0
20180602,119,경기도,수원시권선구,29.5,4.6,14.6,21.6,59,1.6,0
20180603,119,경기도,수원시권선구,30.9,4.9,14,22.4,57,1.2,0
20180604,119,경기도,수원시권선구,27.3,4.2,16.4,21.7,63,1.6,0
20180605,119,경기도,수원시권선구,30.1,4.1,18.6,23.3,62,1.6,0
20180606,119,경기도,수원시권선구,27.9,4,16.6,21.7,78,1.6,0
20180607,119,경기도,수원시권선구,29,4.2,16.5,20.7,84,1.6,0
20180608,119,경기도,수원시권선구,26.9,4.3,17.6,21.1,79,2.1,0
20180609,119,경기도,수원시권선구,29.5,7.3,17.1,23.5,66,2.4,0.1
20180610,119,경기도,수원시권선구,25.8,5.7,17.2,21.7,63,3.3,1.4
20180611,119,경기도,수원시권선구,23.8,5.3,18.2,20.8,67,1.9,0
20180612,119,경기도,수원시권선구,27.8,5.2,17.5,21,72,2,0.3
20180613,119,경기도,수원시권선구,27.3,4.2,16.9,21.7,73,1.7,0
20180614,119,경기도,수원시권선구,25.9,5.7,18.5,22.4,72,2.6,3.4
20180615,119,경기도,수원시권선구,26.3,5.9,17.7,22,60,3.5,0.3
20180616,119,경기도,수원시권선구,29.1,4.8,16.3,21.8,61,2.4,0
20180617,119,경기도,수원시권선구,28.6,4,16.4,21.5,78,1.2,0
20180618,119,경기도,수원시권선구,30.6,3.9,18.7,23.8,69,1.4,0
20180619,119,경기도,수원시권선구,26,3.2,17.5,21.8,73,1.5,0
20180620,119,경기도,수원시권선구,28.9,4.6,18.1,22.3,79,2.3,0
20180621,119,경기도,수원시권선구,28.8,5.3,18.8,23,71,2.4,0
20180622,119,경기도,수원시권선구,32.6,4.5,16.9,24,60,1.7,0
20180623,119,경기도,수원시권선구,30.8,4.1,20.1,23.9,63,1.8,0
20180624,119,경기도,수원시권선구,33.3,4.1,19.9,24.8,74,2,0
20180625,119,경기도,수원시권선구,33.1,2.7,20,26.5,65,1.3,0
20180626,119,경기도,수원시권선구,26,6.3,19.6,22.2,94,2.8,95.5
20180627,119,경기도,수원시권선구,28,5.2,18.8,22,92,1.7,0.2
20180628,119,경기도,수원시권선구,26.3,4.7,20.7,23.4,95,1.4,3.1
20180629,119,경기도,수원시권선구,29.9,3.5,21.5,24.5,88,1.3,1
20180630,119,경기도,수원시권선구,29.7,4.3,20.7,24.9,88,1.3,1.7
20180701,119,경기도,수원시권선구,23.9,3.9,20.8,21.9,98,2.4,105.7
20180702,119,경기도,수원시권선구,28,3.9,20.4,23,99,1.7,76.3
